"""","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)"
"海面漁業・養殖業計(ﾄﾝ)","35013.0","42867.0","37953.0","37157.0","30429.0","31584.0","30231.0","26445.0","25391.0"
"","","","","","","","","",""
"海面漁業(ﾄﾝ)","29322.0","38803.0","34001.0","33154.0","27323.0","28598.0","28361.0","24896.0","23638.0"
"小型底びき網(縦びき1種)(ﾄﾝ)","3650.0","4012.0","3283.0","3624.0","2940.0","2364.0","2747.0","2894.0","2520.0"
"小型底びき網(縦びきその他)(ﾄﾝ)","113.0","119.0","","","","","","",""
"","","","","","","","","",""
"ひき回し船びき網(ﾄﾝ)","1698.0","3737.0","2039.0","2318.0","1703.0","2277.0","2931.0","2882.0","2449.0"
"ひき寄せ船びき網(ﾄﾝ)","x","x","","","","","","",""
"","","","","","","","","",""
"地びき網(ﾄﾝ)","179.0","123.0","1854.0","1941.0","1248.0","1109.0","979.0","943.0","750.0"
"その他の敷網(ﾄﾝ)","x","x","","","","","","",""
"その他の網漁業(ﾄﾝ)","0.0","1.0","","","","","","",""
"","","","","","","","","",""
"中・小型1そうまき巾着網(ﾄﾝ)","4018.0","8822.0","16791.0","15476.0","11852.0","13891.0","13276.0","9772.0","9991.0"
"中・小型2そうまき巾着網(ﾄﾝ)","7823.0","9806.0","","","","","","",""
"その他の中・小型まき網(ﾄﾝ)","x","x","","","","","","",""
"","","","","","","","","",""
"その他の刺網(ﾄﾝ)","629.0","710.0","566.0","526.0","612.0","599.0","441.0","425.0","395.0"
"さんま棒受網(ﾄﾝ)","72.0","x","x","x","x","x","73.0","13.0","70.0"
"","","","","","","","","",""
"大型定置網(ﾄﾝ)","1915.0","2847.0","2488.0","2610.0","2221.0","2667.0","2762.0","2623.0","2688.0"
"小型定置網(ﾄﾝ)","868.0","x","861.0","1040.0","767.0","756.0","852.0","757.0","639.0"
"","","","","","","","","",""
"遠洋まぐろはえ縄(ﾄﾝ)","1083.0","x","x","0.0","0.0","0.0","0.0","-","-"
"近海まぐろはえ縄(ﾄﾝ)","x","x","x","x","x","157.0","101.0","65.0","55.0"
"沿岸まぐろはえ縄(ﾄﾝ)","593.0","x","x","x","980.0","745.0","770.0","728.0","625.0"
"その他のはえ縄(ﾄﾝ)","152.0","139.0","161.0","185.0","152.0","173.0","175.0","176.0","171.0"
"","","","","","","","","",""
"近海かつお一本釣(ﾄﾝ)","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","-"
"沿岸かつお一本釣(ﾄﾝ)","374.0","270.0","249.0","393.0","641.0","x","395.0","270.0","350.0"
"沿岸いか釣(ﾄﾝ)","157.0","148.0","178.0","147.0","60.0","38.0","102.0","82.0","52.0"
"ひき縄釣(ﾄﾝ)","1498.0","1520.0","1310.0","1755.0","1710.0","2030.0","880.0","1735.0","1196.0"
"その他の釣(ﾄﾝ)","973.0","986.0","1081.0","987.0","995.0","775.0","818.0","726.0","619.0"
"","","","","","","","","",""
"採貝(ﾄﾝ)","76.0","73.0","810.0","719.0","731.0","278.0","748.0","452.0","764.0"
"採藻(ﾄﾝ)","657.0","782.0","","","","","","",""
"その他の漁業(ﾄﾝ)","328.0","463.0","477.0","372.0","459.0","253.0","312.0","354.0","305.0"
"","","","","","","","","",""
"海面養殖業(ﾄﾝ)","5691.0","4064.0","3952.0","4003.0","3106.0","2986.0","1871.0","1549.0","1753.0"
"ぶり類養殖(ﾄﾝ)","658.0","593.0","476.0","295.0","223.0","248.0","108.0","42.0","44.0"
"まだい類養殖(ﾄﾝ)","4416.0","3025.0","2752.0","2904.0","2079.0","1827.0","1221.0","1175.0","1257.0"
